N,Ub,sb,Ud,rL,rl,L,total_time,t_eq,number_beneficial_loci,l,v,total_fixations,fraction recombined
1000000000.0,1e-06,0.05,0,0.01,1e-06,1000000,9694,2000,10000,100,0.0007351618403951131,122,0.631148
1000000000.0,1e-06,0.05,0,3.16456e-07,1e-08,1000000,502000,2000,10000,31600,0.000663884,6630,0.404525
1000000000.0,1e-06,0.05,0,0.0001,1e-08,1000000,502000,2000,10000,100,0.000596487,5967,0.0209486
1000000000.0,1e-06,0.05,0,0.001,1e-07,1000000,100710,2000,10000,100,0.0006173872758585755,1212,0.15099
1000000000.0,1e-06,0.05,0,1e-05,1e-08,1000000,502000,2000,10000,1000,0.000599521,5997,0.0458563
1000000000.0,1e-06,0.05,0,3.16456e-05,1e-06,1000000,502000,2000,10000,31600,0.000963748,9625,0.965922
1000000000.0,1e-06,0.05,0,0.001,1e-06,1000000,80068,2000,10000,1000,0.0007768499513244863,1209,0.612076
1000000000.0,1e-06,0.05,0,3.16456e-06,1e-07,1000000,502000,2000,10000,31600,0.000775675,7751,0.725584
1000000000.0,1e-06,0.05,0,0.0001,1e-07,1000000,502000,2000,10000,1000,0.000635949,6363,0.231337
1000000000.0,1e-06,0.05,0,0.00316456,1e-06,1000000,31023,2000,10000,316,0.0007579399166178548,440,0.625
1000000000.0,1e-06,0.05,0,0.000316456,1e-07,1000000,268079,2000,10000,316,0.0006218140852904589,3288,0.190085
1000000000.0,1e-06,0.05,0,1e-05,1e-06,1000000,502000,2000,10000,100000,0.00103141,10316,0.993893
1000000000.0,1e-06,0.05,0,3.16456e-05,1e-08,1000000,502000,2000,10000,316,0.000595965,5958,0.0266868
1000000000.0,1e-06,0.05,0,1e-06,1e-08,1000000,502000,2000,10000,10000,0.00062662,6268,0.199904
1000000000.0,1e-06,0.05,0,0.0001,1e-06,1000000,502000,2000,10000,10000,0.000888868,8883,0.747383
1000000000.0,1e-06,0.05,0,1e-07,1e-08,1000000,502000,2000,10000,100000,0.000711766,7107,0.762206
1000000000.0,1e-06,0.05,0,3.16456e-06,1e-08,1000000,502000,2000,10000,3160,0.000606236,6066,0.0913287
1000000000.0,1e-06,0.05,0,3.16456e-05,1e-07,1000000,502000,2000,10000,3160,0.000668847,6685,0.332835
1000000000.0,1e-06,0.05,0,1e-06,1e-07,1000000,502000,2000,10000,100000,0.000838277,8375,0.970507
1000000000.0,1e-06,0.05,0,1e-05,1e-07,1000000,502000,2000,10000,10000,0.000714765,7144,0.467805
